Stagione	Campionato	Campionato_sigla	Giornata	Data	CoT	Squadra	Numero	Avversario	Avversario_sigla	Risultato_finale	PoNo	Minuto_1	Risultato_parziale_1	Modo_1	Assist_1	Minuto_2	Risultato_parziale_2	Modo_2	Assist_2	Minuto_3	Risultato_parziale_3	Modo_3	Assist_3	Minuto_4	Risultato_parziale_4	Modo_4	Assist_4	N_goals
Stagione 17/18	Europa League	Europa League	Fase a gironi	14/09/2017	T	SS Lazio		Vitesse Arnhem	Vitesse	02:03	P	67'	02:02	Destro	Felipe Caicedo													1
Stagione 17/18	Serie A	Serie A	4	17/09/2017	T	SS Lazio	(4.)	Genoa CFC	Genoa  (16.)	02:03	P	70'	01:02	Destro	Jordan Lukaku	82'	02:03	Destro										2
Stagione 17/18	Serie A	Serie A	6	24/09/2017	T	SS Lazio	(7.)	Hellas Verona	Verona  (18.)	00:03	P	24'	00:01	Rigore		41'	00:02	Destro										2
Stagione 17/18	Europa League	Europa League	Fase a gironi	28/09/2017	C	SS Lazio		SV Zulte Waregem	Zulte Waregem	02:00	P	90'	02:00	Destro	Alessandro Murgia													1
Stagione 17/18	Serie A	Serie A	7	01/10/2017	C	SS Lazio	(5.)	US Sassuolo	Sassuolo  (15.)	06:01	P	81'	06:01	Rigore														1
Stagione 17/18	Serie A	Serie A	8	14/10/2017	T	SS Lazio	(4.)	Juventus FC	Juventus  (2.)	01:02	P	47'	01:01	Destro	Luis Alberto	54'	01:02	Rigore										2
Stagione 17/18	Serie A	Serie A	9	22/10/2017	C	SS Lazio	(3.)	Cagliari Calcio	Cagliari  (14.)	03:00	P	7'	01:00	Rigore		41'	02:00	Colpo di testa	Adam Marusic									2
Stagione 17/18	Serie A	Serie A	11	29/10/2017	T	SS Lazio	(3.)	Benevento Calcio	Benevento  (20.)	01:05	P	13'	00:02	Destro	Sergej Milinkovic-Savic													1
Stagione 17/18	Serie A	Serie A	13	18/11/2017	T	SS Lazio	(2.)	AS Roma	Roma  (5.)	02:01	P	72'	02:01	Rigore														1
Stagione 17/18	Coppa Italia	Coppa Italia	Ottavi	14/12/2017	C	SS Lazio		AS Cittadella	Cittadella	04:01	P	11'	01:00	Sinistro	Sergej Milinkovic-Savic	87'	04:01	Destro	Lucas Leiva									2
Stagione 17/18	Serie A	Serie A	18	23/12/2017	C	SS Lazio	(5.)	FC Crotone	Crotone  (16.)	04:00	P	78'	02:00	Colpo di testa	Senad Lulic													1
Stagione 17/18	Serie A	Serie A	20	06/01/2018	T	SS Lazio	(5.)	SPAL 2013	SPAL  (18.)	02:05	P	19'	01:02	Sinistro	Luis Alberto	26'	01:03	Destro	Sergej Milinkovic-Savic	41'	02:04	Colpo di testa	Dusan Basta 	51'	02:05	Destro	Stefan Radu	4
Stagione 17/18	Serie A	Serie A	25	19/02/2018	C	SS Lazio	(5.)	Hellas Verona	Verona  (19.)	02:00	P	55'	01:00	Destro	Luis Alberto	60'	02:00	Colpo di testa	Senad Lulic									2
Stagione 17/18	Europa League	Europa League	Turno intermedio	22/02/2018	C	SS Lazio		FCSB	FCSB	05:01	P	7'	01:00	Destro	Senad Lulic	43'	03:00	Destro	Felipe Anderson 	71'	05:00	Sinistro	Felipe Anderson					3
Stagione 17/18	Serie A	Serie A	26	25/02/2018	T	SS Lazio	(4.)	US Sassuolo	Sassuolo  (16.)	00:03	P 	31'	00:02	Rigore														1
Stagione 17/18	Europa League	Europa League	Ottavi	08/03/2018	C	SS Lazio		Dinamo Kiev	Dinamo Kiev	02:02	P	54'	01:01	Destro	Felipe Anderson													1
Stagione 17/18	Serie A	Serie A	28	11/03/2018	T	SS Lazio	(4.)	Cagliari Calcio	Cagliari  (15.)	02:02	P	90'+5	02:02	Destro	Felipe Anderson													1
Stagione 17/18	Serie A	Serie A	30	31/03/2018	C	SS Lazio	(5.)	Benevento Calcio	Benevento  (20.)	06:02	P	19'	01:00	Destro	Felipe Anderson	68'	04:02	Destro										2
Stagione 17/18	Europa League	Europa League	Quarti	05/04/2018	C	SS Lazio		Red Bull Salisburgo	RB Salisburgo	04:02	P	77'	04:02	Destro	Lucas Leiva													1
Stagione 17/18	Serie A	Serie A	31	08/04/2018	T	SS Lazio	(5.)	Udinese Calcio	Udinese  (13.)	01:02	P	26'	01:01	Destro														1
Stagione 17/18	Europa League	Europa League	Quarti	12/04/2018	T	SS Lazio		Red Bull Salisburgo	RB Salisburgo	04:01	P	55'	00:01	Destro	Luis Alberto													1
Stagione 17/18	Serie A	Serie A	34	22/04/2018	C	SS Lazio	(4.)	UC Sampdoria	Sampdoria  (8.)	04:00	P	85'	03:00	Destro	Sergej Milinkovic-Savic	88'	04:00	Destro	Nani									2
Stagione 18/19	Serie A	Serie A	1	18/08/2018	C	SS Lazio	(8.)	SSC Napoli	Napoli  (2.)	01:02	P	25'	01:00	Sinistro														1
Stagione 18/19	Europa League	Europa League	Fase a gironi	20/09/2018	C	SS Lazio		Apollon Limassol	Apol. Limassol	02:01		83'	02:00	Rigore														1
Stagione 18/19	Serie A	Serie A	5	23/09/2018	C	SS Lazio	(9.)	Genoa CFC	Genoa  (8.)	04:01	P	23'	02:00	Sinistro	Marco Parolo	89'	04:01	Tap-in										2
Stagione 18/19	Serie A	Serie A	7	29/09/2018	T	SS Lazio	(4.)	AS Roma	Roma  (10.)	03:01	P	67'	01:01	Destro														1
Stagione 18/19	Serie A	Serie A	8	07/10/2018	C	SS Lazio	(6.)	ACF Fiorentina	Fiorentina  (5.)	01:00	P	37'	01:00	Destro	Stefan Radu													1
Stagione 18/19	Serie A	Serie A	9	21/10/2018	T	SS Lazio	(5.)	Parma Calcio 1913	Parma  (10.)	00:02	P	81'	00:01	Rigore														1
Stagione 18/19	Serie A	Serie A	11	04/11/2018	C	SS Lazio	(5.)	SPAL	SPAL  (14.)	04:01	P	26'	01:00	Destro	Danilo Cataldi	35'	02:01	Tiro deviato	Felipe Caicedo									2
Stagione 18/19	Serie A	Serie A	14	02/12/2018	T	SS Lazio	(4.)	AC Chievo Verona	Chievo  (20.)	01:01	P	66'	01:01	Destro	Joaquin Correa													1
Stagione 18/19	Serie A	Serie A	15	08/12/2018	C	SS Lazio	(5.)	UC Sampdoria	Sampdoria  (10.)	02:02	P	90'+6	02:01	Rigore														1
Stagione 18/19	Coppa Italia	Coppa Italia	Ottavi	12/01/2019	C	SS Lazio		Novara Calcio	Novara	04:01	P 	20'	02:00	Ribatutta dopo rigore		35'	03:00	Destro	Jordan Lukaku									2
Stagione 18/19	Serie A	Serie A	20	20/01/2019	T	SS Lazio	(4.)	SSC Napoli	Napoli  (2.)	02:01	P	65'	02:01	Destro	Joaquin Correa													1
Stagione 18/19	Coppa Italia	Coppa Italia	Quarti	31/01/2019	T	SS Lazio		Inter	Inter	4:5 d.c.r.	P	108'	00:01	Tiro deviato	Felipe Caicedo													1
Stagione 18/19	Serie A	Serie A	26	02/03/2019	C	SS Lazio	(6.)	AS Roma	Roma  (5.)	03:00	P	73'	02:00	Rigore														1
Stagione 18/19	Serie A	Serie A	27	10/03/2019	T	SS Lazio	(5.)	ACF Fiorentina	Fiorentina  (10.)	01:01	P	23'	00:01	Destro	Joaquin Correa													1
Stagione 18/19	Serie A	Serie A	31	07/04/2019	C	SS Lazio	(6.)	US Sassuolo	Sassuolo  (11.)	02:02	P	53'	01:00	Rigore														1
Stagione 18/19	Serie A	Serie A	38	26/05/2019	T	SS Lazio	(8.)	Torino FC	Torino  (7.)	03:01	P	66'	02:01	Destro	Marco Parolo													1
Stagione 19/20	Serie A	Serie A	1	25/08/2019	T	SS Lazio	(4.)	UC Sampdoria	Sampdoria  (15.)	00:03	P	37'	00:01	Sinistro	Luis Alberto	62'	00:03	Destro	Sergej Milinkovic-Savic									2
Stagione 19/20	Serie A	Serie A	3	15/09/2019	T	SS Lazio	(4.)	SPAL	SPAL  (17.)	02:01	P	17'	00:01	Rigore														1
Stagione 19/20	Serie A	Serie A	4	22/09/2019	C	SS Lazio	(9.)	Parma Calcio 1913	Parma  (17.)	02:00	P	8'	01:00	Sinistro	Luis Alberto													1
Stagione 19/20	Serie A	Serie A	6	29/09/2019	C	SS Lazio	(9.)	Genoa CFC	Genoa  (16.)	04:00	P	82'	04:00	Destro	Luiz Felipe													1
Stagione 19/20	Europa League	Europa League	Fase a gironi	03/10/2019	C	SS Lazio		Stade Rennais FC	Rennes	02:01	P	75'	02:01	Colpo di testa	Sergej Milinkovic-Savic													1
Stagione 19/20	Serie A	Serie A	7	06/10/2019	T	SS Lazio	(6.)	Bologna FC	Bologna  (11.)	02:02	P	23'	01:01	Destro	Senad Lulic	39'	02:02	Sinistro	Luis Alberto									2
Stagione 19/20	Serie A	Serie A	8	19/10/2019	C	SS Lazio	(6.)	Atalanta	Atalanta  (3.)	03:03	P	69'	01:03	Rigore		90'+3	03:03	Rigore										2
Stagione 19/20	Serie A	Serie A	9	27/10/2019	T	SS Lazio	(8.)	ACF Fiorentina	Fiorentina  (7.)	01:02	P	89'	01:02	Colpo di testa	Jordan Lukaku													1
Stagione 19/20	Serie A	Serie A	10	30/10/2019	C	SS Lazio	(6.)	Torino FC	Torino  (12.)	04:00	P	33'	02:00	Destro	Luis Alberto	70'	03:00	Rigore										1
Stagione 19/20	Serie A	Serie A	11	03/11/2019	T	SS Lazio	(5.)	AC Milan	Milan  (10.)	01:02	P	25'	00:01	Colpo di testa	Manuel Lazzari													1
Stagione 19/20	Europa League	Europa League	Fase a gironi	07/11/2019	C	SS Lazio		Celtic Glasgow	Celtic Glasgow	01:02	P	7'	01:00	Destro	Felipe Caicedo													1
Stagione 19/20	Serie A	Serie A	12	10/11/2019	C	SS Lazio	(5.)	US Lecce	Lecce  (16.)	04:02	P	77'	03:01	Rigore														1
Stagione 19/20	Serie A	Serie A	13	24/11/2019	T	SS Lazio	(3.)	US Sassuolo	Sassuolo  (10.)	01:02	P	34'	00:01	Destro	Joaquin Correa													1
Stagione 19/20	Serie A	Serie A	14	01/12/2019	C	SS Lazio	(3.)	Udinese Calcio	Udinese  (12.)	03:00	P	9'	01:00	Sinistro	Sergej Milinkovic-Savic	36'	02:00	Rigore										2
Stagione 19/20	Serie A	Serie A	18	05/01/2020	T	SS Lazio	(3.)	Brescia Calcio	Brescia  (18.)	01:02	P	42'	01:01	Rigore		90'+1	01:02	Destro	Felipe Caicedo									2
Stagione 19/20	Serie A	Serie A	19	11/01/2020	C	SS Lazio	(3.)	SSC Napoli	Napoli  (8.)	01:00	P	82'	01:00	Destro														1
Stagione 19/20	Coppa Italia	Coppa Italia	Ottavi	14/01/2020	C	SS Lazio		US Cremonese	Cremonese	04:00	P	58'	03:00	Rigore														1
Stagione 19/20	Serie A	Serie A	20	18/01/2020	C	SS Lazio	(3.)	UC Sampdoria	Sampdoria  (16.)	05:01	P 	17'	02:00	Rigore		20'	03:00	Destro	Francesco Acerbi    	65'	05:00	Rigore						3
Stagione 19/20	Serie A	Serie A	22	02/02/2020	C	SS Lazio	(3.)	SPAL	SPAL  (20.)	05:01	P	3'	01:00	Destro	Senad Lulic	29'	03:00	Destro	Manuel Lazzari									2
Stagione 19/20	Serie A	Serie A	24	16/02/2020	C	SS Lazio	(3.)	Inter	Inter  (2.)	02:01	P 	50'	01:01	Rigore														1
Stagione 19/20	Serie A	Serie A	25	23/02/2020	T	SS Lazio	(2.)	Genoa CFC	Genoa  (18.)	02:03	P 	51'	00:02	Destro														1
Stagione 19/20	Serie A	Serie A	28	27/06/2020	C	SS Lazio	(2.)	ACF Fiorentina	Fiorentina  (14.)	02:01	P	67'	01:01	Rigore														1
Stagione 19/20	Serie A	Serie A	29	30/06/2020	T	SS Lazio	(2.)	Torino FC	Torino  (13.)	01:02	P	48'	01:01	Sinistro	Luis Alberto													1
Stagione 19/20	Serie A	Serie A	34	20/07/2020	T	SS Lazio	(4.)	Juventus FC	Juventus  (1.)	02:01	P	83'	02:01	Rigore														1
Stagione 19/20	Serie A	Serie A	35	23/07/2020	C	SS Lazio	(4.)	Cagliari Calcio	Cagliari  (11.)	02:01	P	60'	02:01	Sinistro	Luis Alberto													1
Stagione 19/20	Serie A	Serie A	36	26/07/2020	T	SS Lazio	(4.)	Hellas Verona	Verona  (9.)	01:05	P	45'+6	01:01	Rigore		83'	01:04	Azione in contropiede	Jordan Lukaku   	90'+4	01:05	Rigore						3
Stagione 19/20	Serie A	Serie A	37	29/07/2020	C	SS Lazio	(4.)	Brescia Calcio	Brescia  (19.)	02:00	P	82'	02:00	Destro	Joaquin Correa													1
Stagione 19/20	Serie A	Serie A	38	01/08/2020	T	SS Lazio	(4.)	SSC Napoli	Napoli  (7.)	03:01	P	22'	01:01	Destro	Adam Marusic													1
Stagione 20/21	Serie A	Serie A	2	26/09/2020	T	SS Lazio	(18.)	Cagliari Calcio	Cagliari  (10.)	00:02	P 	74'	00:02	Destro	Adam Marusic													1
Stagione 20/21	UEFA Champions League	Champions League	Fase a gironi	20/10/2020	C	SS Lazio		Borussia Dortmund	Dortmund	03:01	P 	6'	01:00	Sinistro	Joaquin Correa													1
Stagione 20/21	Serie A	Serie A	5	24/10/2020	C	SS Lazio	(12.)	Bologna FC	Bologna  (17.)	02:01	P 	76'	02:00	Colpo di testa	Mohamed Fares													1
Stagione 20/21	Serie A	Serie A	6	01/11/2020	T	SS Lazio	(11.)	Torino FC	Torino  (16.)	03:04	P	90'+5	03:03	Rigore														1
Stagione 20/21	Serie A	Serie A	8	21/11/2020	T	SS Lazio	(9.)	FC Crotone	Crotone  (20.)	00:02	P	21'	00:01	Colpo di testa	Marco Parolo													1
Stagione 20/21	UEFA Champions League	Champions League	Fase a gironi	24/11/2020	C	SS Lazio		Zenit San Pietroburgo	Zenit	03:01	P	3'	01:00	Destro	Lucas Leiva	55'	03:01	Rigore										2
Stagione 20/21	Serie A	Serie A	9	29/11/2020	C	SS Lazio	(8.)	Udinese Calcio	Udinese  (16.)	01:03	P	74'	01:03	Rigore														1
Stagione 20/21	UEFA Champions League	Champions League	Fase a gironi	02/12/2020	T	SS Lazio		Borussia Dortmund	Dortmund	01:01	P 	67'	01:01	Rigore														1
Stagione 20/21	Serie A	Serie A	10	05/12/2020	T	SS Lazio	(9.)	Spezia Calcio	Spezia  (13.)	01:02	P 	15'	00:01	Destro	Sergej Milinkovic-Savic													1
Stagione 20/21	UEFA Champions League	Champions League	Fase a gironi	08/12/2020	C	SS Lazio		Club Bruges	Club Bruges	02:02	P 	27'	02:01	Rigore														1
Stagione 20/21	Serie A	Serie A	12	15/12/2020	T	SS Lazio	(9.)	Benevento Calcio	Benevento  (13.)	01:01	P 	25'	00:01	Destro	Sergej Milinkovic-Savic													1
Stagione 20/21	Serie A	Serie A	13	20/12/2020	C	SS Lazio	(9.)	SSC Napoli	Napoli  (4.)	02:00	P 	9'	01:00	Colpo di testa	Adam Marusic													1
Stagione 20/21	Serie A	Serie A	14	23/12/2020	T	SS Lazio	(8.)	AC Milan	Milan  (1.)	03:02	P 	59'	02:02	Sinistro	Sergej Milinkovic-Savic													1
Stagione 20/21	Serie A	Serie A	15	03/01/2021	T	SS Lazio	(8.)	Genoa CFC	Genoa  (18.)	01:01	P 	15'	00:01	Rigore														1
Stagione 20/21	Serie A	Serie A	16	06/01/2021	C	SS Lazio	(9.)	ACF Fiorentina	Fiorentina  (14.)	02:01	P 	75'	02:00	Destro														1
Stagione 20/21	Serie A	Serie A	18	15/01/2021	C	SS Lazio	(8.)	AS Roma	Roma  (4.)	03:00	P 	14'	01:00	Destro	Manuel Lazzari													1
Stagione 20/21	Serie A	Serie A	19	24/01/2021	C	SS Lazio	(7.)	US Sassuolo	Sassuolo  (8.)	02:01	P 	71'	02:01	Sinistro	Adam Marusic													1
Stagione 20/21	Serie A	Serie A	21	07/02/2021	C	SS Lazio	(5.)	Cagliari Calcio	Cagliari  (17.)	01:00	P 	61'	01:00	Sinistro	Sergej Milinkovic-Savic													1
Stagione 20/21	Serie A	Serie A	31	18/04/2021	C	SS Lazio	(6.)	Benevento Calcio	Benevento  (16.)	05:03	P 	20'	02:00	Destro	Sergej Milinkovic-Savic	90'+6	05:03	Tap-in	Marco Parolo									2
Stagione 20/21	Serie A	Serie A	32	22/04/2021	T	SS Lazio	(6.)	SSC Napoli	Napoli  (5.)	05:02	P 	70'	04:01	Destro	Andreas Pereira													1
Stagione 20/21	Serie A	Serie A	33	26/04/2021	C	SS Lazio	(6.)	AC Milan	Milan  (2.)	03:00	P	87'	03:00	Destro	Manuel Lazzari													1
Stagione 20/21	Serie A	Serie A	34	02/05/2021	C	SS Lazio	(6.)	Genoa CFC	Genoa  (13.)	04:03	P	43'	02:00	Rigore														1
Stagione 20/21	Serie A	Serie A	36	12/05/2021	C	SS Lazio	(6.)	Parma Calcio 1913	Parma  (19.)	01:00	P	90'+5	01:00	Destro														1
Stagione 21/22	Serie A	Serie A	1	21/08/2021	T	SS Lazio	(5.)	Empoli FC	Empoli  (14.)	01:03	P 	41'	01:03	Rigore														1
Stagione 21/22	Serie A	Serie A	2	28/08/2021	C	SS Lazio	(3.)	Spezia Calcio	Spezia  (11.)	06:01	P 	5'	01:01	Destro	Pedro	15'	02:01	Destro	Luis Alberto    	45'+2	03:01	Colpo di testa	Luis Alberto					3
Stagione 21/22	Serie A	Serie A	4	19/09/2021	C	SS Lazio	(7.)	Cagliari Calcio	Cagliari  (16.)	02:02	P 	45'	01:00	Colpo di testa	Sergej Milinkovic-Savic													1
Stagione 21/22	Serie A	Serie A	5	23/09/2021	T	SS Lazio	(8.)	Torino FC	Torino  (10.)	01:01	P 	90'+1	01:01	Rigore														1
Stagione 21/22	Serie A	Serie A	8	16/10/2021	C	SS Lazio	(9.)	Inter	Inter  (3.)	03:01	P 	64'	01:01	Rigore														1
Stagione 21/22	Serie A	Serie A	9	24/10/2021	T	SS Lazio	(5.)	Hellas Verona	Verona  (15.)	04:01	P 	46'	02:01	Destro	Sergej Milinkovic-Savic													1
Stagione 21/22	Serie A	Serie A	11	30/10/2021	T	SS Lazio	(6.)	Atalanta	Atalanta  (5.)	02:02	P 	74'	01:02	Destro	Toma Basic													1
Stagione 21/22	Europa League	Europa League	Fase a gironi	04/11/2021	T	SS Lazio		Olympique Marsiglia	Marsiglia	02:02	P 	49'	01:02	Destro														1
Stagione 21/22	Serie A	Serie A	12	07/11/2021	C	SS Lazio	(6.)	US Salernitana 1919	Salernitana  (19.)	03:00	P 	31'	01:00	Colpo di testa	Pedro													1
Stagione 21/22	Europa League	Europa League	Fase a gironi	25/11/2021	T	SS Lazio		Lokomotiv Mosca	Loko Mosca	00:03	P 	56'	00:01	Rigore		63'	00:02	Rigore										2
Stagione 21/22	Serie A	Serie A	15	02/12/2021	C	SS Lazio	(8.)	Udinese Calcio	Udinese  (14.)	04:04	P 	34'	01:02	Tap-in														1
Stagione 21/22	Serie A	Serie A	16	05/12/2021	T	SS Lazio	(9.)	UC Sampdoria	Sampdoria  (15.)	01:03	P 	17'	00:02	Sinistro	Mattia Zaccagni	37'	00:03	Destro	Sergej Milinkovic-Savic									2
Stagione 21/22	Serie A	Serie A	20	06/01/2022	C	SS Lazio	(8.)	Empoli FC	Empoli  (9.)	03:03	P 	14'	01:02	Colpo di testa	Sergej Milinkovic-Savic													1
Stagione 21/22	Serie A	Serie A	21	09/01/2022	T	SS Lazio	(6.)	Inter	Inter  (1.)	02:01	P 	35'	01:01	Destro	Danilo Cataldi													1
Stagione 21/22	Serie A	Serie A	22	15/01/2022	T	SS Lazio	(6.)	US Salernitana 1919	Salernitana  (17.)	00:03	P 	7'	00:01	Sinistro	Sergej Milinkovic-Savic	10'	00:02	Sinistro	Pedro									2
Stagione 21/22	Coppa Italia	Coppa Italia	Ottavi	18/01/2022	C	SS Lazio		Udinese Calcio	Udinese	1:0 d.t.s.	P	106'	01:00	Sinistro	Danilo Cataldi													1
Stagione 21/22	Serie A	Serie A	24	05/02/2022	T	SS Lazio	(7.)	ACF Fiorentina	Fiorentina  (8.)	00:03	P 	70'	00:02	Destro	Patric													1
Stagione 21/22	Serie A	Serie A	25	12/02/2022	C	SS Lazio	(6.)	Bologna FC	Bologna  (11.)	03:00	P 	13'	01:00	Rigore														1
Stagione 21/22	Europa League	Europa League	Turno intermedio	24/02/2022	C	SS Lazio		FC Porto	FC Porto	02:02	P 	19'	01:00	Azione in contropiede	Sergej Milinkovic-Savic													1
Stagione 21/22	Serie A	Serie A	28	05/03/2022	T	SS Lazio	(7.)	Cagliari Calcio	Cagliari  (17.)	00:03	P 	19'	00:01	Rigore														1
Stagione 21/22	Serie A	Serie A	29	14/03/2022	C	SS Lazio	(7.)	Venezia FC	Venezia  (18.)	01:00	P 	58'	01:00	Rigore														1
Stagione 21/22	Serie A	Serie A	32	10/04/2022	T	SS Lazio	(7.)	Genoa CFC	Genoa  (19.)	01:04	P 	45'+1	00:02	Destro	Manuel Lazzari	63'	00:03	Colpo di testa		76'	01:04	Destro						3
Stagione 21/22	Serie A	Serie A	33	16/04/2022	C	SS Lazio	(6.)	Torino FC	Torino  (11.)	01:01	P 	90'+2	01:01	Colpo di testa	Sergej Milinkovic-Savic													1
Stagione 21/22	Serie A	Serie A	34	24/04/2022	C	SS Lazio	(6.)	AC Milan	Milan  (1.)	01:02	P 	4'	01:00	Sinistro	Sergej Milinkovic-Savic													1
Stagione 21/22	Serie A	Serie A	35	30/04/2022	T	SS Lazio	(6.)	Spezia Calcio	Spezia  (15.)	03:04	P 	33'	01:01	Rigore														1
Stagione 22/23	Serie A	Serie A	1	14/08/2022	C	SS Lazio	(2.)	Bologna FC	Bologna  (9.)	02:01	P 	79'	02:01	Sinistro	Sergej Milinkovic-Savic													1
Stagione 22/23	Serie A	Serie A	4	31/08/2022	T	SS Lazio	(2.)	UC Sampdoria	Sampdoria  (17.)	01:01	P 	21'	00:01	Destro	Sergej Milinkovic-Savic													1
Stagione 22/23	Serie A	Serie A	6	11/09/2022	C	SS Lazio	(8.)	Hellas Verona	Verona  (12.)	02:00	P 	68'	01:00	Colpo di testa	Sergej Milinkovic-Savic													1
Stagione 22/23	Serie A	Serie A	7	18/09/2022	T	SS Lazio	(7.)	US Cremonese	Cremonese  (17.)	00:04	P 	7'	00:01	Sinistro	Sergej Milinkovic-Savic	21'	00:02	Rigore										2
Stagione 22/23	Serie A	Serie A	9	10/10/2022	T	SS Lazio	(4.)	ACF Fiorentina	Fiorentina  (10.)	00:04	P 	90'+1	00:04	Destro	Sergej Milinkovic-Savic													1
Stagione 22/23	Europa League	Europa League	Fase a gironi	13/10/2022	C	SS Lazio		SK Sturm Graz	Sturm Graz	02:02	P 	45'	01:00	Rigore														1
Stagione 22/23	Serie A	Serie A	16	04/01/2023	T	SS Lazio	(3.)	US Lecce	Lecce  (16.)	02:01	P 	14'	00:01	Destro	Nicolo Casale													1
Stagione 22/23	UEFA Europa Conference League	Conference League	Turno intermedio	16/02/2023	C	SS Lazio		CFR Cluj	CFR Cluj	01:00	P 	45'+4	01:00	Destro	Felipe Anderson													1
Stagione 22/23	Serie A	Serie A	23	19/02/2023	T	SS Lazio	(6.)	US Salernitana 1919	Salernitana  (16.)	00:02	P 	60'	00:01	Sinistro	Adam Marusic	69'	00:02	Rigore										2
Stagione 22/23	Serie A	Serie A	30	14/04/2023	T	SS Lazio	(2.)	Spezia Calcio	Spezia  (17.)	00:03	P 	36'	00:01	Rigore														1
Stagione 22/23	Serie A	Serie A	35	12/05/2023	C	SS Lazio	(2.)	US Lecce	Lecce  (16.)	02:02	P 	34'	01:00	Sinistro	Luis Alberto													1
Stagione 22/23	Serie A	Serie A	36	21/05/2023	T	SS Lazio	(3.)	Udinese Calcio	Udinese  (12.)	00:01	P 	61'	00:01	Rigore														1
